rank,prev_rank,name,league,off,def,spi
139,139,Tigres UANL,Mexican Primera Division Torneo Apertura,1.49,0.98,57.61
140,143,Brescia,Italy Serie A,1.53,1.03,57.46
141,112,Club América,Mexican Primera Division Torneo Apertura,1.52,1.02,57.45
142,125,São Paulo,Brasileiro Série A,1.31,0.83,57.4
143,137,Corinthians,Brasileiro Série A,1.24,0.77,57.36
144,142,Parma,Italy Serie A,1.54,1.05,57.2
145,140,Trabzonspor,Turkish Turkcell Super Lig,1.78,1.27,57.17
146,138,Spartak Moscow,Russian Premier Liga,1.48,1.01,56.77
147,146,Vitesse,Dutch Eredivisie,1.89,1.4,56.65
148,150,West Bromwich Albion,English League Championship,1.59,1.14,56.12
149,144,Toulouse,French Ligue 1,1.5,1.07,55.75
150,145,Standard Liege,Belgian Jupiler League,1.69,1.25,55.73
151,148,Internacional,Brasileiro Série A,1.37,0.96,55.62
152,152,Atletico Mineiro,Brasileiro Série A,1.46,1.06,55.1
153,153,Bahía,Brasileiro Série A,1.28,0.91,54.61
154,166,Santos Laguna,Mexican Primera Division Torneo Apertura,1.62,1.26,54.15
155,141,Spal,Italy Serie A,1.53,1.17,53.89
156,157,AZ,Dutch Eredivisie,1.58,1.24,53.65
157,151,AEK Athens,Greek Super League,1.52,1.17,53.63
158,156,Metz,French Ligue 1,1.43,1.1,53.54
159,176,Swansea City,English League Championship,1.54,1.2,53.52
160,155,Amiens,French Ligue 1,1.31,0.98,53.51
161,159,Verona,Italy Serie A,1.46,1.13,53.44
162,167,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.42,1.09,53.32
163,160,Cruz Azul,Mexican Primera Division Torneo Apertura,1.43,1.11,53.21
164,164,Huddersfield Town,English League Championship,1.49,1.18,53.02
165,162,KAA Gent,Belgian Jupiler League,1.62,1.31,53.0
166,165,Molde,Norwegian Tippeligaen,1.86,1.54,52.92
167,158,León,Mexican Primera Division Torneo Apertura,1.59,1.28,52.9
168,168,Racing Club,Argentina Primera Division,1.38,1.09,52.61
169,161,Lecce,Italy Serie A,1.46,1.17,52.41
170,169,FC Arsenal Tula,Russian Premier Liga,1.43,1.14,52.41
171,189,Rio Ave,Portuguese Liga,1.55,1.27,52.23
172,171,Cardiff City,English League Championship,1.47,1.19,52.2
